City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,vestmannaeyjar,IS,42.85,heavy intensity rain,63.4427,-20.2734,Glamping & Camping
2,punta arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Hain
3,porto walter,BR,76.24,light rain,-8.2686,-72.7439,Secretaria de saúde
7,butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
8,bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
9,garmsar,IR,42.85,clear sky,35.2182,52.3409,آذین فوم
10,flinders,AU,76.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
11,pacific grove,US,69.58,few clouds,36.6177,-121.9166,Lovers Point Inn
12,cape town,ZA,73.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
13,cidreira,BR,73.02,scattered clouds,-30.1811,-50.2056,Hotel Castelo
15,mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,marsabit,KE,69.64,few clouds,2.3284,37.9899,Chicho Hotel
19,maningrida,AU,79.88,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
20,mataura,NZ,62.47,broken clouds,-46.1927,168.8643,Ellie's Villa
23,kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
24,hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,guerrero negro,MX,67.44,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
26,ribeira grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
28,ushuaia,AR,46.06,overcast clouds,-54.8,-68.3,Albatross Hotel
29,mar del plata,AR,80.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,new norfolk,AU,62.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
35,zinder,NE,64.54,clear sky,13.8072,8.9881,Hotel de Ville
36,port alfred,ZA,73.49,scattered clouds,-33.5906,26.891,The Halyards Hotel
37,hermanus,ZA,69.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
38,rikitea,PF,78.22,light rain,-23.1203,-134.9692,People ThankYou
40,isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
41,kavieng,PG,82.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
42,noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
43,lebu,CL,62.98,few clouds,-37.6167,-73.65,Hostal Las Lilas
44,soto la marina,MX,84.78,clear sky,23.7667,-98.2167,Hotel Chicago
46,palma soriano,CU,81.54,overcast clouds,20.2172,-75.9989,Mercedes Rooms
47,hobart,AU,63.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
48,eureka,US,67.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
49,port elizabeth,ZA,68.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
51,kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,shingu,JP,44.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
59,chuy,UY,73.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
61,san ignacio,BZ,87.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
63,east london,ZA,74.88,overcast clouds,-33.0153,27.9116,Tu Casa
64,tura,IN,58.55,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
66,taltal,CL,67.51,broken clouds,-25.4,-70.4833,Residencial Karime
67,russell,US,72.68,overcast clouds,32.3502,-85.1999,Macs
68,bluff,NZ,62.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
69,saint-philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,salalah,OM,67.12,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
73,necochea,AR,91.98,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
74,libreville,GA,80.33,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
75,brae,GB,42.71,overcast clouds,60.3964,-1.353,Busta House Hotel
77,katsuura,JP,47.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
78,prince rupert,CA,44.29,light rain,54.3161,-130.3201,Crest Hotel
79,leshan,CN,49.35,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
81,thap khlo,TH,73.83,clear sky,16.16,100.5966,Kaosai Country Club
83,luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
85,avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
86,marawi,PH,64.65,broken clouds,7.9986,124.2928,Derogongan Residence
92,tubuala,PA,86.11,broken clouds,9.5167,-79.0333,Río Nabagana
96,busselton,AU,55.09,broken clouds,-33.65,115.3333,Observatory Guest House
98,yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
99,lakes entrance,AU,75.58,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
100,wanning,CN,69.19,overcast clouds,18.8003,110.3967,Paradise Hotel
101,antofagasta,CL,72.68,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
102,mozarlandia,BR,73.0,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
103,bambous virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
104,inhambane,MZ,75.15,broken clouds,-23.865,35.3833,Oceano
108,itarema,BR,80.24,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
111,felanitx,ES,59.45,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
114,belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
