,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,susuman,RU,62.7833,148.1667,-7.47,100,97,2.8,overcast clouds
1,vestmannaeyjar,IS,63.4427,-20.2734,42.85,91,100,50.31,heavy intensity rain
2,punta arenas,CL,-53.15,-70.9167,53.71,50,75,26.46,broken clouds
3,porto walter,BR,-8.2686,-72.7439,76.24,89,74,2.42,light rain
4,dinguiraye,GN,11.3,-10.7167,74.53,21,6,2.46,clear sky
5,shache,CN,38.4167,77.2406,23.76,54,100,1.77,overcast clouds
6,luderitz,NA,-26.6481,15.1594,63.3,94,4,5.95,clear sky
7,butaritari,KI,3.0707,172.7902,81.46,76,98,12.21,overcast clouds
8,bathsheba,BB,13.2167,-59.5167,79.41,69,75,19.57,broken clouds
9,garmsar,IR,35.2182,52.3409,42.85,40,0,0.76,clear sky
10,flinders,AU,-34.5833,150.8552,76.17,92,90,4.0,overcast clouds
11,pacific grove,US,36.6177,-121.9166,69.58,54,18,1.01,few clouds
12,cape town,ZA,-33.9258,18.4232,73.09,72,0,1.99,clear sky
13,cidreira,BR,-30.1811,-50.2056,73.02,72,37,17.85,scattered clouds
14,avera,US,33.194,-82.5271,72.28,69,16,10.45,few clouds
15,mahebourg,MU,-20.4081,57.7,77.25,88,40,4.61,scattered clouds
16,marsabit,KE,2.3284,37.9899,69.64,55,14,10.45,few clouds
17,iqaluit,CA,63.7506,-68.5145,-25.31,67,20,5.01,few clouds
18,jamestown,US,42.097,-79.2353,36.09,66,100,8.01,overcast clouds
19,maningrida,AU,-12.0667,134.2667,79.88,74,100,7.23,overcast clouds
20,mataura,NZ,-46.1927,168.8643,62.47,60,64,2.17,broken clouds
21,nipawin,CA,53.3668,-104.0009,-12.96,64,0,12.66,clear sky
22,yatou,CN,37.15,122.3833,30.81,71,91,3.38,overcast clouds
23,kahului,US,20.8947,-156.47,82.42,54,0,6.91,clear sky
24,hilo,US,19.7297,-155.09,80.33,69,40,9.22,scattered clouds
25,guerrero negro,MX,27.9769,-114.0611,67.44,49,100,5.53,overcast clouds
26,ribeira grande,PT,38.5167,-28.7,61.2,77,40,14.97,scattered clouds
27,homer,US,59.6425,-151.5483,15.04,67,100,10.56,overcast clouds
28,ushuaia,AR,-54.8,-68.3,46.06,61,100,12.66,overcast clouds
29,mar del plata,AR,-38.0023,-57.5575,80.1,1,0,10.0,clear sky
30,anadyr,RU,64.75,177.4833,-14.3,76,5,11.18,clear sky
31,new norfolk,AU,-42.7826,147.0587,62.65,79,100,3.06,overcast clouds
32,kemijarvi,FI,66.7131,27.4306,-8.99,100,64,0.74,broken clouds
33,upernavik,GL,72.7868,-56.1549,0.52,99,100,12.59,overcast clouds
34,tiksi,RU,71.6872,128.8694,-1.5,64,100,21.92,overcast clouds
35,zinder,NE,13.8072,8.9881,64.54,16,0,15.28,clear sky
36,port alfred,ZA,-33.5906,26.891,73.49,91,48,20.89,scattered clouds
37,hermanus,ZA,-34.4187,19.2345,69.91,83,100,9.66,overcast clouds
38,rikitea,PF,-23.1203,-134.9692,78.22,79,100,20.56,light rain
39,jojoima,SL,7.8792,-10.7878,77.47,76,85,3.44,overcast clouds
40,isangel,VU,-19.55,169.2667,84.31,79,20,11.5,few clouds
41,kavieng,PG,-2.5744,150.7967,82.4,72,100,5.97,overcast clouds
42,noumea,NC,-22.2763,166.4572,82.38,99,51,15.73,broken clouds
43,lebu,CL,-37.6167,-73.65,62.98,82,20,6.22,few clouds
44,soto la marina,MX,23.7667,-98.2167,84.78,49,6,12.24,clear sky
45,moose factory,CA,51.2585,-80.6094,-0.4,71,100,19.57,overcast clouds
46,palma soriano,CU,20.2172,-75.9989,81.54,56,86,8.43,overcast clouds
47,hobart,AU,-42.8794,147.3294,63.01,84,75,1.01,broken clouds
48,eureka,US,40.8021,-124.1637,67.19,72,8,4.0,clear sky
49,port elizabeth,ZA,-33.918,25.5701,68.09,94,75,5.75,broken clouds
50,nanortalik,GL,60.1432,-45.2371,18.84,77,100,35.03,overcast clouds
51,kapaa,US,22.0752,-159.319,79.12,65,0,1.99,clear sky
52,orange cove,US,36.6244,-119.3137,65.91,37,0,2.39,clear sky
53,provideniya,RU,64.3833,-173.3,8.71,61,0,20.13,clear sky
54,albany,US,42.6001,-73.9662,37.99,89,100,1.99,overcast clouds
55,yellowknife,CA,62.456,-114.3525,-23.58,76,40,6.91,scattered clouds
56,tasiilaq,GL,65.6145,-37.6368,31.55,77,100,52.81,light snow
57,shingu,JP,33.7333,135.9833,44.91,81,46,5.53,scattered clouds
58,berlevag,NO,70.8578,29.0864,26.55,80,75,13.8,light shower snow
59,chuy,UY,-33.6971,-53.4616,73.62,68,0,15.1,clear sky
